,sentence,option1,option2,answer,chatgpt
0,Sarah was a much better surgeon than Maria so _ always got the easier cases.,Sarah,Maria,2,1
1,Sarah was a much better surgeon than Maria so _ always got the harder cases.,Sarah,Maria,1,2
2,"They were worried the wine would ruin the bed and the blanket, but the _ was't ruined.",blanket,bed,2,1
3,Terry tried to bake the eggplant in the toaster oven but the _ was too big.,eggplant,toaster,1,1
4,"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.",Jeffrey,Hunter,1,2
5,"The cat of Sarah has some mouth problems, so she takes it to see Maria. _ is a responsible cat owner.",Sarah,Maria,1,1
6,The home that my parents had when I was in school was a lot nicer than my house now because the _ was sophisticated.,home,house,1,1
7,The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.,home,house,2,2
8,"Natalie has a rich husband and lots of money, Jennifer is poor _ needs to make her clothes.",Natalie,Jennifer,2,2
9,Joe immediately went to bakery before the bank because the _ had a limited supply of what he wanted.,bakery,bank,1,1
10,Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.,bakery,bank,2,2
11,"I had to read an entire story for class tomorrow. Luckily, the _ was canceled.",story,class,2,2
12,"I had to read an entire story for class tomorrow. Luckily, the _ was short.",story,class,1,1
13,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,cafe,library,1,1
14,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,cafe,library,2,2
15,Lindsey like to read graphic novels but Natalie liked classic literature to read. _ bought the new Frank Miller comic at the book store.,Lindsey,Natalie,1,1
16,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.,Michael,Leslie,2,1
17,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,Michael,Leslie,1,2
18,"Leslie was nervous around parrots but Neil was not, since _ was bitten by a bird early in life.",Leslie,Neil,1,2
19,Christmas was a special holiday to Eric but not Adam since _ was a Jew.,Eric,Adam,2,2
20,To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away.  The _ was closer.,pudding,frosting,2,2
21,Benjamin was chosen instead of Brett to be the makeup artist for the play because _ was less experienced.,Benjamin,Brett,2,2
22,"Cynthia violated the rights of Amy, because _ had too much passivity with other people.",Cynthia,Amy,2,2
23,"They had to eat a lot to gain the strength they had lost and be able to work, the _ was too much.",work,strength,1,2
